time			channel0	channel1	channel2	torque	speed	power
2023-10-10 14:46:19:379	-2.5043	4.52146	0.000135899	??-???	????????	??????
2023-10-10 14:46:19:379	-0.770412	4.42322	8.82149e-05	5.21	0	26.2
2023-10-10 14:46:19:379	1.13302	2.73503	0.000120401	??-???	????????	??????
2023-10-10 14:46:19:379	2.63864	0.168294	8.9407e-05	5.21	0	26.2
2023-10-10 14:46:19:379	3.29737	0.052228	5.84126e-05	??-???	????????	??????
2023-10-10 14:46:19:379	2.90846	-0.00612736	3.57628e-05	5.21	0	26.2
2023-10-10 14:46:19:379	1.59084	-0.0742245	7.98702e-05	??-???	????????	??????
2023-10-10 14:46:19:379	-0.261062	-0.291094	3.93391e-05	5.21	0	26.2
2023-10-10 14:46:19:379	-2.0946	5.08416	8.46386e-05	??-???	????????	??????
2023-10-10 14:46:19:379	-3.3672	4.8602	7.51019e-05	5.21	0	26.2
2023-10-10 14:46:19:379	-3.70402	4.81671	0.000139475	??-???	????????	??????
2023-10-10 14:46:19:379	-3.0051	4.81531	0.000126362	5.21	0	26.2
2023-10-10 14:46:19:379	-1.47776	4.85596	0.000113249	??-???	????????	??????
2023-10-10 14:46:19:379	0.429715	5.07539	0.000106096	5.21	0	26.2
2023-10-10 14:46:19:379	2.14891	-0.349724	7.98702e-05	??-???	????????	??????
2023-10-10 14:46:19:379	3.16775	-0.115122	6.55651e-05	5.21	0	26.2
2023-10-10 14:46:19:379	3.17812	-0.058794	9.05991e-05	??-???	????????	??????
2023-10-10 14:46:19:379	2.1788	-0.0310648	7.03335e-05	5.21	0	26.2
2023-10-10 14:46:19:379	0.46905	-0.0222027	6.91414e-05	??-???	????????	??????
2023-10-10 14:46:19:379	-1.44042	4.12873	8.9407e-05	5.21	0	26.2
2023-10-10 14:46:19:379	-2.98077		8.34465e-05	??-???	????????	??????
